figure_id,strain,display_name,group,target_mic_operational_label,target_length,guidance_method,row_index,predicted_mic_umol,log2_predicted_mic,source_cache_id
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,181,5.0625,2.339849949,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,182,33.5,5.066089153,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,183,328,8.357551575,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,184,384,8.584962845,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,185,8.6875,3.118941069,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,186,73,6.189824581,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,187,229,7.839203835,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Unconditional,1000,368,noise,0,6.375,2.67242527,baa3170_unconditional_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Unconditional,1000,368,noise,1,97.5,6.607330322,baa3170_unconditional_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Unconditional,1000,368,noise,2,430,8.748192787,baa3170_unconditional_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Unconditional,1000,368,noise,3,416,8.700439453,baa3170_unconditional_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Unconditional,1000,368,noise,4,225,7.813781261,baa3170_unconditional_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Unconditional,1000,368,noise,5,115.5,6.851748943,baa3170_unconditional_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Unconditional,1000,368,noise,6,11.75,3.554588795,baa3170_unconditional_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Unconditional,1000,368,noise,7,20.25,4.339849949,baa3170_unconditional_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Unconditional,1000,368,noise,8,264,8.044394493,baa3170_unconditional_scoring_cache
